"Andaman & Nicobar Islands","56012","409","77","0"
"Andhra Pradesh","6817446","25042","18709","0"
"Arunachal Pradesh","146229","5088","1714","7"
"Assam","3684068","14540","11210","11"
"Bihar","3485405","15557","11675","4"
"Chandigarh","68862","152","1","1"
"Chhatisgarh","217632","4006","1286","1"
"Dadar & Nagar Haveli","58969","418","46","0"
"Daman & Diu","34190","84","18","0"
"Delhi","186659","54","0","0"
"Goa","3886092","144886","123839","21"
"Gujrat","13725825","41566","7232","7"
"Haryana","2720396","9308","726","3"
"Himachal Pradesh","470357","61","1","0"
"Jammu & Kashmir","460705","216","8","0"
"Jharkhand","2102135","104800","54993","6"
"Karnataka","9564478","12445","1598","0"
"Kerala","2656072","1549","400","4"
"Lakshwadeep","326","4","0","0"
"Madhya Pradesh","9937602","100597","39125","24"
"Maharashtra","18102384","56603","31139","59"
"Manipur","80232","216","119","0"
"Meghalaya","599144","48603","43828","79"
"Mizoram","310526","28593","24602","21"
"Nagaland","235651","1527","532","3"
"Orisha","6608453","436850","369533","80"
"Puducherry","158851","54","5","1"
"Punjab","3033940","596","13","0"
"Rajasthan","9062099","11792","662","3"
"Sikkim","8826","27","11","0"
"Tamil Nadu","8975782","5587","355","0"
"Telangana","3469414","10951","10206","4"
"Tripura","453298","32525","30074","21"
"Uttar Pradesh","4952483","42767","371","0"
"Uttarakhand","365396","1466","73","0"
"West Bengal","7702614","24208","5775","34"
